ts,has_bbox,conf,cx,cy,w,h,active_zone,zone_timer_sec,fps_receiver,fps_infer,fps_stream,jitter_px
1767308757.8025677,0,0.0000,0.00,0.00,0,0,,0.00,0.00,0.00,0.00,0.00
1767308757.9111054,0,0.0000,0.00,0.00,0,0,,0.00,0.00,0.00,0.00,0.00
1767308758.080666,0,0.0000,0.00,0.00,0,0,,0.00,0.00,0.00,0.00,0.00
1767308758.2136905,0,0.0000,0.00,0.00,0,0,,0.00,0.00,0.00,0.00,0.00
1767308758.3603764,0,0.0000,0.00,0.00,0,0,,0.00,0.00,0.00,0.00,0.00
1767308758.4857278,0,0.0000,0.00,0.00,0,0,,0.00,0.00,0.00,0.00,0.00
1767308758.6200266,0,0.0000,0.00,0.00,0,0,,0.00,55.99,0.00,0.00,0.00
1767308758.7469552,0,0.0000,0.00,0.00,0,0,,0.00,55.99,0.00,0.00,0.00
1767308758.8732774,0,0.0000,0.00,0.00,0,0,,0.00,55.99,7.47,0.00,0.00
1767308759.006029,0,0.0000,0.00,0.00,0,0,,0.00,55.99,7.47,8.41,0.00
1767308759.1628447,0,0.0000,0.00,0.00,0,0,,0.00,55.99,7.47,8.41,0.00
1767308759.2907135,0,0.0000,0.00,0.00,0,0,,0.00,55.99,7.47,8.41,0.00
1767308759.4218624,0,0.0000,0.00,0.00,0,0,,0.00,55.99,7.47,8.41,0.00
1767308759.5542161,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.47,8.41,0.00
1767308759.684718,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.47,8.41,0.00
1767308759.8288488,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.47,8.41,0.00
1767308759.9776728,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.24,8.41,0.00
1767308760.1062315,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.24,9.96,0.00
1767308760.360306,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.24,9.96,0.00
1767308760.4971025,0,0.0000,0.00,0.00,0,0,,0.00,57.00,7.24,9.96,0.00
1767308760.619397,0,0.0000,0.00,0.00,0,0,,0.00,61.15,7.24,9.96,0.00
1767308760.7511466,0,0.0000,0.00,0.00,0,0,,0.00,61.15,7.24,9.96,0.00
1767308760.894916,0,0.0000,0.00,0.00,0,0,,0.00,61.15,7.24,9.96,0.00
1767308761.0155816,0,0.0000,0.00,0.00,0,0,,0.00,61.15,6.74,9.96,0.00
1767308761.1656785,0,0.0000,0.00,0.00,0,0,,0.00,61.15,6.74,10.60,0.00
1767308761.293691,0,0.0000,0.00,0.00,0,0,,0.00,61.15,6.74,10.60,0.00
1767308761.4198315,0,0.0000,0.00,0.00,0,0,,0.00,61.15,6.74,10.60,0.00
1767308761.5548358,0,0.0000,0.00,0.00,0,0,,0.00,61.15,6.74,10.60,0.00
1767308761.6824288,0,0.0000,0.00,0.00,0,0,,0.00,56.74,6.74,10.60,0.00
1767308761.807575,0,0.0000,0.00,0.00,0,0,,0.00,56.74,6.74,10.60,0.00
1767308761.9503539,0,0.0000,0.00,0.00,0,0,,0.00,56.74,6.74,10.60,0.00
1767308762.1050522,0,0.0000,0.00,0.00,0,0,,0.00,56.74,7.34,10.60,0.00
1767308762.3548439,0,0.0000,0.00,0.00,0,0,,0.00,56.74,7.34,10.10,0.00
1767308762.4968941,0,0.0000,0.00,0.00,0,0,,0.00,56.74,7.34,10.10,0.00
1767308762.6198943,0,0.0000,0.00,0.00,0,0,,0.00,62.97,7.34,10.10,0.00
1767308762.7542486,0,0.0000,0.00,0.00,0,0,,0.00,62.97,7.34,10.10,0.00
1767308762.8969567,0,0.0000,0.00,0.00,0,0,,0.00,62.97,7.34,10.10,0.00
1767308763.0216353,0,0.0000,0.00,0.00,0,0,,0.00,62.97,7.34,10.10,0.00
1767308763.1566207,0,0.0000,0.00,0.00,0,0,,0.00,62.97,6.66,10.10,0.00
1767308763.2863739,0,0.0000,0.00,0.00,0,0,,0.00,62.97,6.66,9.51,0.00
1767308763.4162347,0,0.0000,0.00,0.00,0,0,,0.00,62.97,6.66,9.51,0.00
1767308763.5589635,0,0.0000,0.00,0.00,0,0,,0.00,62.97,6.66,9.51,0.00
1767308763.7083995,0,0.0000,0.00,0.00,0,0,,0.00,56.79,6.66,9.51,0.00
1767308763.9517238,0,0.0000,0.00,0.00,0,0,,0.00,56.79,6.66,9.51,0.00
1767308764.093362,0,0.0000,0.00,0.00,0,0,,0.00,56.79,6.66,9.51,0.00
1767308764.2272246,0,0.0000,0.00,0.00,0,0,,0.00,56.79,6.54,9.51,0.00
1767308764.3567016,0,0.0000,0.00,0.00,0,0,,0.00,56.79,6.54,7.47,0.00
1767308764.482005,0,0.0000,0.00,0.00,0,0,,0.00,56.79,6.54,7.47,0.00
